tumors	patients	mock_pseudospace	tumors.1	patients.1	tgfb_pseudospace
LIHC	LIHC.TCGA.RG.A7D4.01A.12R.A33R.07	48.4333755562755	LIHC	LIHC.TCGA.RG.A7D4.01A.12R.A33R.07	57.3791555777815
SKCM	SKCM.TCGA.RP.A690.06A.11R.A311.07	57.7514411825091	SKCM	SKCM.TCGA.RP.A690.06A.11R.A311.07	50.3150272160154
SKCM	SKCM.TCGA.RP.A693.06A.13R.A311.07	57.617279993177	SKCM	SKCM.TCGA.RP.A693.06A.13R.A311.07	66.9768822107549
SKCM	SKCM.TCGA.RP.A694.06A.11R.A311.07	58.4054228425124	SKCM	SKCM.TCGA.RP.A694.06A.11R.A311.07	68.7752486792791
SKCM	SKCM.TCGA.RP.A695.06A.11R.A311.07	56.4995026135316	SKCM	SKCM.TCGA.RP.A695.06A.11R.A311.07	58.291341133899
SKCM	SKCM.TCGA.RP.A6K9.06A.41R.A352.07	55.1533952926587	SKCM	SKCM.TCGA.RP.A6K9.06A.41R.A352.07	54.1958122446903
HNSC	HNSC.TCGA.RS.A6TO.01A.32R.A34R.07	50.9828853165098	HNSC	HNSC.TCGA.RS.A6TO.01A.32R.A34R.07	19.2825146658463
HNSC	HNSC.TCGA.RS.A6TP.01A.12R.A34R.07	53.8774005786505	HNSC	HNSC.TCGA.RS.A6TP.01A.12R.A34R.07	69.6360370136379
COAD	COAD.TCGA.RU.A8FL.01A.11R.A37K.07	55.1495641221805	COAD	COAD.TCGA.RU.A8FL.01A.11R.A37K.07	90.1943648257574
UVM	UVM.TCGA.RZ.AB0B.01A.11R.A405.07	56.1610708426413	UVM	UVM.TCGA.RZ.AB0B.01A.11R.A405.07	51.7760783080738
LUAD	LUAD.TCGA.S2.AA1A.01A.12R.A39D.07	52.1490754754714	LUAD	LUAD.TCGA.S2.AA1A.01A.12R.A39D.07	46.45688972145
BRCA	BRCA.TCGA.S3.A6ZF.01A.32R.A32P.07	50.4237859074998	BRCA	BRCA.TCGA.S3.A6ZF.01A.32R.A32P.07	76.8592998860348
BRCA	BRCA.TCGA.S3.A6ZG.01A.22R.A32P.07	50.4519105306403	BRCA	BRCA.TCGA.S3.A6ZG.01A.22R.A32P.07	59.2141921688905
BRCA	BRCA.TCGA.S3.A6ZH.01A.22R.A32P.07	51.516078748802	BRCA	BRCA.TCGA.S3.A6ZH.01A.22R.A32P.07	74.8079603996233
BRCA	BRCA.TCGA.S3.AA0Z.01A.11R.A41B.07	56.1920562099306	BRCA	BRCA.TCGA.S3.AA0Z.01A.11R.A41B.07	78.8241842402858
BRCA	BRCA.TCGA.S3.AA10.01A.21R.A41B.07	61.3020007136843	BRCA	BRCA.TCGA.S3.AA10.01A.21R.A41B.07	89.8519220718563
BRCA	BRCA.TCGA.S3.AA11.01A.31R.A41B.07	48.6080987394028	BRCA	BRCA.TCGA.S3.AA11.01A.31R.A41B.07	29.2482359612463
BRCA	BRCA.TCGA.S3.AA12.01A.11R.A41B.07	46.7485274705622	BRCA	BRCA.TCGA.S3.AA12.01A.11R.A41B.07	37.4640157073486
BRCA	BRCA.TCGA.S3.AA14.01A.11R.A41B.07	47.5388732264023	BRCA	BRCA.TCGA.S3.AA14.01A.11R.A41B.07	39.0865033776229
BRCA	BRCA.TCGA.S3.AA17.01A.11R.A41B.07	49.8674856735778	BRCA	BRCA.TCGA.S3.AA17.01A.11R.A41B.07	49.7414518221423
PAAD	PAAD.TCGA.S4.A8RM.01A.11R.A37L.07	46.2048984860621	PAAD	PAAD.TCGA.S4.A8RM.01A.11R.A37L.07	34.2598409359685
PAAD	PAAD.TCGA.S4.A8RO.01A.12R.A37L.07	53.1565636165194	PAAD	PAAD.TCGA.S4.A8RO.01A.12R.A37L.07	34.1510284565659
PAAD	PAAD.TCGA.S4.A8RP.01A.11R.A36G.07	48.8774332527638	PAAD	PAAD.TCGA.S4.A8RP.01A.11R.A36G.07	38.552360302418
BLCA	BLCA.TCGA.S5.A6DX.01A.11R.A31N.07	49.149027417462	BLCA	BLCA.TCGA.S5.A6DX.01A.11R.A31N.07	46.6180529569083
BLCA	BLCA.TCGA.S5.AA26.01A.11R.A38B.07	47.0980093906398	BLCA	BLCA.TCGA.S5.AA26.01A.11R.A38B.07	16.3348367301829
ESCA	ESCA.TCGA.S8.A6BV.01A.21R.A31P.31	42.9270607938055	ESCA	ESCA.TCGA.S8.A6BV.01A.21R.A31P.31	26.5713871157961
ESCA	ESCA.TCGA.S8.A6BW.01A.11R.A31P.31	54.06948488805	ESCA	ESCA.TCGA.S8.A6BW.01A.11R.A31P.31	68.7700397916315
UCEC	UCEC.TCGA.SJ.A6ZI.01A.12R.A34R.07	53.9496866906932	UCEC	UCEC.TCGA.SJ.A6ZI.01A.12R.A34R.07	81.1192111207844
UCEC	UCEC.TCGA.SJ.A6ZJ.01A.12R.A34R.07	53.6687581203086	UCEC	UCEC.TCGA.SJ.A6ZJ.01A.12R.A34R.07	52.7349710508735
UCEC	UCEC.TCGA.SL.A6J9.01A.11R.A31O.07	54.5398755152076	UCEC	UCEC.TCGA.SL.A6J9.01A.11R.A31O.07	83.2958980432481
UCEC	UCEC.TCGA.SL.A6JA.01A.11R.A31O.07	49.5589288633361	UCEC	UCEC.TCGA.SL.A6JA.01A.11R.A31O.07	54.3506541480561
COAD	COAD.TCGA.SS.A7HO.01A.21R.A37K.07	56.4935352597549	COAD	COAD.TCGA.SS.A7HO.01A.21R.A37K.07	87.6011012539617
PRAD	PRAD.TCGA.SU.A7E7.01A.22R.A33R.07	51.4356310642573	PRAD	PRAD.TCGA.SU.A7E7.01A.22R.A33R.07	43.1823881203319
STAD	STAD.TCGA.SW.A7EA.01A.12R.A354.31	54.3739048383808	STAD	STAD.TCGA.SW.A7EA.01A.12R.A354.31	47.9498169376688
KIRP	KIRP.TCGA.SX.A71R.01A.12R.A33Z.07	51.0075704393337	KIRP	KIRP.TCGA.SX.A71R.01A.12R.A33Z.07	33.9479701130037
KIRP	KIRP.TCGA.SX.A71S.01A.11R.A33Z.07	51.4059945600178	KIRP	KIRP.TCGA.SX.A71S.01A.11R.A33Z.07	37.9775709303847
KIRP	KIRP.TCGA.SX.A71U.01A.12R.A33Z.07	54.0028731697095	KIRP	KIRP.TCGA.SX.A71U.01A.12R.A33Z.07	42.0413924234735
KIRP	KIRP.TCGA.SX.A71V.01A.11R.A33Z.07	55.4092405054613	KIRP	KIRP.TCGA.SX.A71V.01A.11R.A33Z.07	45.1300399968194
KIRP	KIRP.TCGA.SX.A7SL.01A.11R.A355.07	52.6511208451858	KIRP	KIRP.TCGA.SX.A7SL.01A.11R.A355.07	43.6626987316879
KIRP	KIRP.TCGA.SX.A7SM.01A.11R.A355.07	54.2108389378103	KIRP	KIRP.TCGA.SX.A7SM.01A.11R.A355.07	48.3301429922808
KIRP	KIRP.TCGA.SX.A7SN.01A.11R.A355.07	54.3980833621229	KIRP	KIRP.TCGA.SX.A7SN.01A.11R.A355.07	38.0318207754813
KIRP	KIRP.TCGA.SX.A7SO.01A.11R.A355.07	53.9754628501697	KIRP	KIRP.TCGA.SX.A7SO.01A.11R.A355.07	49.5109066611492
KIRP	KIRP.TCGA.SX.A7SP.01A.11R.A355.07	54.2806041264731	KIRP	KIRP.TCGA.SX.A7SP.01A.11R.A355.07	46.2488814461097
KIRP	KIRP.TCGA.SX.A7SQ.01A.12R.A36F.07	56.0564223416105	KIRP	KIRP.TCGA.SX.A7SQ.01A.12R.A36F.07	43.9901308404078
KIRP	KIRP.TCGA.SX.A7SR.01A.12R.A36F.07	53.7956214218476	KIRP	KIRP.TCGA.SX.A7SR.01A.12R.A36F.07	43.6579323525064
